"RespostaKey","TempoKey","AlunoKey","QuestaoKey","SimuladoKey","RespostaDada","Acertou","TempoRespostaSegundos"
531,2,5,19,2,"D",1,15
532,2,5,20,2,"E",1,19
533,2,5,21,2,"A",1,37
534,2,5,22,2,"B",1,110
535,2,5,23,2,"A",0,94
536,2,5,24,2,"D",1,8
537,2,5,25,2,"E",1,21
538,2,5,26,2,"C",0,46
539,2,5,27,2,"B",1,49
540,2,5,28,2,"E",0,87
541,2,5,29,2,"D",1,89
542,2,5,30,2,"E",1,20
543,2,5,31,2,"A",1,22
544,2,5,32,2,"B",1,61
545,2,6,1,2,"B",0,17
546,2,6,2,2,"B",1,45
547,2,6,3,2,"C",1,59
548,2,6,4,2,"E",0,98
549,2,6,5,2,"E",1,97
550,2,6,6,2,"A",1,25
551,2,6,7,2,"B",1,10
552,2,6,8,2,"A",0,54
553,2,6,9,2,"D",1,67
554,2,6,10,2,"E",1,78
555,2,6,11,2,"A",1,98
556,2,6,12,2,"B",1,42
557,2,6,13,2,"C",1,24
558,2,6,14,2,"D",1,51
559,2,6,15,2,"D",0,40
560,2,6,16,2,"C",0,77
561,2,6,17,2,"B",1,82
562,2,6,18,2,"C",1,45
563,2,6,19,2,"C",0,18
564,2,6,20,2,"E",1,41
565,2,6,21,2,"E",0,43
566,2,6,22,2,"B",1,90
567,2,6,23,2,"C",1,71
568,2,6,24,2,"D",1,10
569,2,6,25,2,"E",1,6
570,2,6,26,2,"B",0,75
571,2,6,27,2,"B",1,56
572,2,6,28,2,"B",0,80
573,2,6,29,2,"A",0,98
574,2,6,30,2,"E",1,22
575,2,6,31,2,"A",1,29
576,2,6,32,2,"B",1,56
577,2,7,1,2,"A",1,37
578,2,7,2,2,"B",1,55
579,2,7,3,2,"D",0,57
580,2,7,4,2,"D",1,84
581,2,7,5,2,"B",0,91
582,2,7,6,2,"A",1,12
583,2,7,7,2,"A",0,24
584,2,7,8,2,"C",1,78
585,2,7,9,2,"E",0,63
586,2,7,10,2,"E",1,96
587,2,7,11,2,"A",1,71
588,2,7,12,2,"B",1,35
589,2,7,13,2,"C",1,38
590,2,7,14,2,"D",1,46
591,2,7,15,2,"E",1,55
592,2,7,16,2,"A",1,97
593,2,7,17,2,"B",1,91
594,2,7,18,2,"C",1,37
595,2,7,19,2,"D",1,29
596,2,7,20,2,"E",1,54
597,2,7,21,2,"A",1,70
598,2,7,22,2,"B",1,89
599,2,7,23,2,"C",1,68
600,2,7,24,2,"D",1,5
601,2,7,25,2,"E",1,28
602,2,7,26,2,"B",0,44
603,2,7,27,2,"D",0,62
604,2,7,28,2,"B",0,98
605,2,7,29,2,"E",0,104
606,2,7,30,2,"E",1,23
607,2,7,31,2,"A",1,19
608,2,7,32,2,"B",1,27
609,2,8,1,2,"A",1,31
610,2,8,2,2,"B",1,31
611,2,8,3,2,"C",1,37
612,2,8,4,2,"D",1,103
613,2,8,5,2,"E",1,84
614,2,8,6,2,"B",0,17
615,2,8,7,2,"D",0,22
616,2,8,8,2,"C",1,76
617,2,8,9,2,"D",1,27
618,2,8,10,2,"E",1,101
619,2,8,11,2,"A",1,86
620,2,8,12,2,"B",1,14
621,2,8,13,2,"C",1,36
622,2,8,14,2,"D",1,61
623,2,8,15,2,"B",0,45
624,2,8,16,2,"A",1,87
625,2,8,17,2,"B",1,84
626,2,8,18,2,"C",1,40
627,2,8,19,2,"D",1,23
628,2,8,20,2,"C",0,58
629,2,8,21,2,"A",1,39
630,2,8,22,2,"A",0,97
631,2,8,23,2,"C",1,83
632,2,8,24,2,"D",1,16
633,2,8,25,2,"A",0,35
634,2,8,26,2,"B",0,68
635,2,8,27,2,"B",1,57
636,2,8,28,2,"A",0,107
637,2,8,29,2,"D",1,77
638,2,8,30,2,"E",1,5
639,2,8,31,2,"A",1,12
640,2,8,32,2,"B",1,48
641,2,9,1,2,"A",1,25
642,2,9,2,2,"E",0,61
643,2,9,3,2,"C",1,60
644,2,9,4,2,"E",0,87
645,2,9,5,2,"E",1,76
646,2,9,6,2,"C",0,13
647,2,9,7,2,"B",1,33
648,2,9,8,2,"E",0,44
649,2,9,9,2,"C",0,46
650,2,9,10,2,"E",1,74
651,2,9,11,2,"A",1,88
652,2,9,12,2,"B",1,32
653,2,9,13,2,"C",1,30
654,2,9,14,2,"D",1,65
655,2,9,15,2,"B",0,56
656,2,9,16,2,"A",1,104
657,2,9,17,2,"B",1,56
658,2,9,18,2,"C",1,32
659,2,9,19,2,"A",0,8
660,2,9,20,2,"D",0,99
661,2,9,21,2,"B",0,62
662,2,9,22,2,"B",1,97
663,2,9,23,2,"C",1,84
664,2,9,24,2,"D",1,24
665,2,9,25,2,"E",1,8
666,2,9,26,2,"A",1,44
667,2,9,27,2,"A",0,62
668,2,9,28,2,"C",1,77
669,2,9,29,2,"D",1,98
670,2,9,30,2,"C",0,22
671,2,9,31,2,"A",1,25
672,2,9,32,2,"B",1,72
673,2,10,1,2,"A",1,20
674,2,10,2,2,"B",1,69
675,2,10,3,2,"C",1,61
676,2,10,4,2,"C",0,88
677,2,10,5,2,"A",0,91
678,2,10,6,2,"A",1,22
679,2,10,7,2,"B",1,10
680,2,10,8,2,"E",0,47
681,2,10,9,2,"D",1,80
682,2,10,10,2,"E",1,95
683,2,10,11,2,"D",0,68
684,2,10,12,2,"B",1,27
685,2,10,13,2,"C",1,29
686,2,10,14,2,"D",1,57
687,2,10,15,2,"E",1,60
688,2,10,16,2,"A",1,106
689,2,10,17,2,"D",0,96
690,2,10,18,2,"C",1,24
691,2,10,19,2,"D",1,19
692,2,10,20,2,"E",1,67
693,2,10,21,2,"A",1,63
694,2,10,22,2,"B",1,96
695,2,10,23,2,"C",1,90
696,2,10,24,2,"D",1,49
697,2,10,25,2,"E",1,16
698,2,10,26,2,"E",0,50
699,2,10,27,2,"E",0,45
700,2,10,28,2,"C",1,90
701,2,10,29,2,"E",0,98
702,2,10,30,2,"E",1,23
703,2,10,31,2,"A",1,5
704,2,10,32,2,"B",1,56
705,2,11,1,2,"A",1,5
706,2,11,2,2,"B",1,50
707,2,11,3,2,"D",0,56
708,2,11,4,2,"D",1,79
709,2,11,5,2,"B",0,84
710,2,11,6,2,"A",1,33
711,2,11,7,2,"B",1,5
712,2,11,8,2,"C",1,48
713,2,11,9,2,"D",1,59
714,2,11,10,2,"E",1,94
715,2,11,11,2,"D",0,90
716,2,11,12,2,"B",1,17
717,2,11,13,2,"C",1,31
718,2,11,14,2,"D",1,57
719,2,11,15,2,"E",1,39
720,2,11,16,2,"A",1,94
721,2,11,17,2,"B",1,85
722,2,11,18,2,"D",0,20
723,2,11,19,2,"D",1,11
724,2,11,20,2,"E",1,54
725,2,11,21,2,"A",1,53
726,2,11,22,2,"B",1,90
727,2,11,23,2,"C",1,81
728,2,11,24,2,"D",1,30
729,2,11,25,2,"A",0,17
730,2,11,26,2,"C",0,50
731,2,11,27,2,"E",0,63
732,2,11,28,2,"E",0,105
733,2,11,29,2,"D",1,89
734,2,11,30,2,"A",0,22
735,2,11,31,2,"A",1,13
736,2,11,32,2,"B",1,60
737,2,12,1,2,"A",1,9
738,2,12,2,2,"B",1,55
739,2,12,3,2,"A",0,51
740,2,12,4,2,"E",0,76
741,2,12,5,2,"E",1,87
742,2,12,6,2,"D",0,32
743,2,12,7,2,"B",1,14
744,2,12,8,2,"D",0,33
745,2,12,9,2,"D",1,58
746,2,12,10,2,"E",1,98
747,2,12,11,2,"A",1,100
748,2,12,12,2,"B",1,23
749,2,12,13,2,"C",1,22
750,2,12,14,2,"D",1,45
751,2,12,15,2,"C",0,51
752,2,12,16,2,"A",1,105
753,2,12,17,2,"E",0,102
754,2,12,18,2,"C",1,5
755,2,12,19,2,"D",1,21
756,2,12,20,2,"E",1,73
757,2,12,21,2,"A",1,54
758,2,12,22,2,"B",1,104
759,2,12,23,2,"C",1,107
760,2,12,24,2,"D",1,17
761,2,12,25,2,"E",1,17
762,2,12,26,2,"C",0,50
763,2,12,27,2,"A",0,64
764,2,12,28,2,"B",0,96
765,2,12,29,2,"D",1,64
766,2,12,30,2,"E",1,16
767,2,12,31,2,"A",1,35
768,2,12,32,2,"B",1,46
